year	aysm	contig	ally	sq	dema	demb	disp	py
1947	0.842788	0	0	0.121349	10	-9	0	1
1947	0.865211	1	0	0.582168	10	10	0	1
1947	0.993586	0	0	0.184353	-9	2	0	1
1947	0.928333	1	0	0.145648	-9	-1	0	0
1947	0.777785	0	0	0.0902832	-9	-7	0	1
1947	0.980411	0	0	0.0825947	2	10	0	1
1947	0.987357	0	0	0.0626909	10	10	0	1
1947	0.923037	1	0	0.224077	10	-1	0	0
1947	0.996475	0	0	0.531068	-9	-10	0	1
1947	0.951128	0	0	-0.0821276	5	10	0	1
1947	0.953131	0	0	0.572293	10	-9	0	1
1947	0.951824	0	0	0.190201	8	-9	0	1
1947	0.99439	0	1	0.296724	0	10	0	1
1947	0.915725	0	0	0.218708	10	-7	0	1
1947	0.650072	0	0	0.50783	10	4	0	1
1947	0.993094	1	0	0.256316	10	2	0	1
1947	0.9667	1	0	0.547456	-10	-5	0	1
1947	0.998306	0	0	-0.160503	-3	-9	0	1
1947	0.986309	0	0	0.184894	10	-10	0	1
1947	0.9374	0	0	0.21922	10	10	0	1
1947	0.941701	0	0	-0.132078	10	10	0	1
1947	0.939323	0	0	-0.302243	10	10	0	1
1947	0.918483	0	1	0.609613	-7	-9	0	1
1947	0.582593	1	0	0.723457	-9	10	0	1
1947	0.941248	1	0	0.367537	10	2	0	1
1947	0.995956	0	1	0.305725	-5	10	0	1
1947	0.987629	0	0	0.175022	-9	-10	0	1
1947	0.993544	0	0	0.0655998	8	10	0	1
1947	0.968004	0	0	-0.164167	-9	2	0	1
1947	0.932206	0	0	0.595515	10	-5	0	1
1947	0.976829	1	0	-0.0791847	10	-3	0	1
1947	0.408548	1	0	0.730977	10	-9	0	1
1947	0.98573	0	0	0.694097	-9	10	0	1
1947	0.929273	0	1	0.282324	10	7	0	1
1947	0.419108	1	1	0.994552	2	-1	0	1
1947	0.996015	0	1	0.305745	5	10	0	1
1947	0.729778	1	0	-0.0851622	10	10	0	1
1947	0.99413	0	0	-0.0772465	10	-9	0	1
1947	0.500357	0	0	0.479783	10	10	0	1
1947	0.995629	0	0	-0.0697369	10	-10	0	1
1947	0.988363	0	1	0.303139	3	10	0	1
1947	0.545974	0	0	0.563575	10	10	0	1
1947	0.83182	1	0	0.0967529	10	-9	0	0
1947	0.997927	0	0	0.179087	-9	-6	0	1
1947	0.860058	0	0	0.17363	-9	10	0	1
1947	0.845642	1	0	0.950444	5	10	0	1
1947	0.802274	0	0	0.589403	10	2	0	1
1947	0.96449	0	0	0.192367	-9	10	0	1
1947	0.481455	1	1	0.640224	-1	-4	0	1
1947	0.957893	0	0	0.329157	-9	-9	0	1
1947	0.567563	1	0	0.685153	10	10	0	1
1947	0.987927	0	0	0.170561	-3	10	0	1
1947	0.868181	0	0	0.582311	10	10	0	1
1947	0.825264	0	0	0.645483	10	10	0	1
1947	0.386907	1	1	0.999094	-8	-8	0	1
1947	0.979583	0	0	0.170303	10	-8	0	1
1947	0.998078	0	1	0.306444	-9	10	0	1
1947	0.611943	1	0	0.577883	10	-5	0	1
1947	0.930653	0	0	0.58522	10	8	0	1
1947	0.978465	0	0	-0.162889	-3	-9	0	1
1947	0.344156	1	0	0.653888	-7	10	0	1
1947	0.997768	1	0	0.26722	10	-6	0	1
1947	0.935725	1	0	0.366664	-3	10	0	1
1947	0.798286	1	0	-0.101366	7	10	0	1
1947	0.964186	0	0	-0.164637	-9	2	0	1
1947	0.992368	0	1	0.304505	-3	10	0	1
1947	0.276909	0	0	0.162365	10	10	0	1
1947	0.966546	1	0	0.261677	-9	10	0	1
1947	0.999783	0	0	0.0685148	10	10	0	1
1947	0.963005	0	0	0.355025	10	10	0	1
1947	0.986778	0	0	-0.161884	-9	-1	0	1
1947	0.833521	0	0	0.1654	10	5	0	1
1947	0.907746	0	0	0.510724	1	-9	0	1
1947	0.960908	0	0	0.354693	10	10	0	1
1948	0.965132	0	0	0.284733	-9	-9	0	2
1948	0.406843	1	0	0.422535	10	-7	0	2
1948	0.965313	0	0	-0.915249	-5	10	0	2
1948	0.808493	0	0	-0.211506	10	-9	0	2
1948	0.997096	0	1	0.983816	10	-9	0	2
1948	0.982302	0	0	0.140483	-6	10	0	2
1948	0.825686	1	0	0.289119	10	-3	1	1
1948	0.612191	0	1	0.673183	10	-9	1	2
1948	0.989297	0	0	0.0104983	10	-9	0	2
1948	0.117939	1	1	1	2	2	0	2
1948	0.341222	1	0	-0.56097	10	-9	1	1
1948	0.955097	0	0	-0.0232928	-9	-3	0	2
1948	0.987914	0	0	0.161268	10	10	0	2
1948	0.983082	0	0	0.667072	10	-9	0	2
1948	0.975547	0	0	-0.915249	-9	2	0	2
1948	0.958834	0	0	-0.915249	10	-1	0	2
1948	0.951196	0	0	0.105487	10	5	0	2
1948	0.998858	0	1	0.983816	-3	10	0	2
1948	0.955826	0	0	-0.0231486	-9	2	0	2
1948	0.969404	1	0	0.114575	10	-9	0	2
1948	0.179155	1	1	1	2	5	0	2
1948	0.97769	0	0	0.221802	10	-3	0	2
1948	0.857543	1	0	0.94717	10	5	0	2
1948	0.881667	0	0	0.0951859	-9	10	0	2
1948	0.508136	0	0	0.422314	10	10	0	2
1948	0.912895	1	0	0.0965963	-9	10	0	2
1948	0.38868	0	0	-0.211506	10	10	0	2
1948	0.00808249	1	1	1	-3	10	0	2
1948	0.994016	0	1	0.983816	0	10	0	2
1948	0.993658	0	0	-0.923384	10	-8	0	2
1948	0.982721	0	0	0.104283	10	-9	0	2
1948	0.998051	0	0	0.239169	10	10	0	2
1948	0.978056	0	0	0.221947	10	2	0	2
1948	0.54264	1	0	0.369105	-5	10	0	2
1948	0.813472	1	0	0.043246	10	10	0	2
1948	0.999769	0	0	0.16624	10	10	0	2
1948	0.648721	1	0	0.968763	10	10	0	2
1948	0.718441	1	0	0.95321	-10	-4	0	2
1948	0.949829	0	0	0.225496	10	10	0	2
1948	0.790739	0	0	0.415478	10	10	0	2
1948	0.164074	1	1	1	10	-8	1	2
1948	0.597994	1	1	1	-3	5	0	2
1948	0.997917	0	0	-0.923384	10	10	0	2
1948	0.979416	0	0	-0.915249	10	-5	0	2
1948	0.605166	1	0	0.773017	-9	10	0	2
1948	0.99912	0	1	0.983816	-8	10	0	2
1948	0.902633	1	1	1	-5	7	0	2
1948	0.929405	1	0	0.282557	2	10	0	2
1948	0.325585	1	1	0.289192	-3	5	0	2
1948	0.682311	1	0	0.712539	-4	-10	0	1
1948	0.992955	0	0	0.163389	10	8	0	2
1948	0.274019	1	0	0.430324	-7	8	0	2
1948	0.999531	0	0	0.120841	10	-9	0	2
1948	0.846787	0	0	-0.915249	7	-9	0	2
1948	0.980694	1	0	0.0827105	10	5	0	2
1948	0.991965	1	0	0.084403	10	2	0	2
1948	0.998734	0	0	-0.915249	-3	-9	0	2
1948	0.822616	1	0	0.285521	-4	-5	0	1
1948	0.994567	0	0	0.140483	-9	10	0	2
1948	0.991545	0	0	-0.915249	-5	-9	0	2
1948	0.956067	0	0	0.11174	8	-9	0	2
1948	0.985126	1	0	-0.923384	10	5	0	2
1948	0.973557	0	0	0.11545	10	-9	0	2
1948	0.995033	0	0	0.10718	-9	2	0	2
1948	0.582348	0	0	0.043246	10	10	0	2
1948	0.994097	0	0	-0.915249	-9	-9	0	2
1948	0.740347	1	1	1	7	2	0	2
1948	0.113102	1	0	0.98857	10	10	0	2
1948	0.95046	0	0	-0.915249	0	10	0	2
1948	0.982191	0	0	0.206146	-9	10	0	1
1948	0.505724	0	0	0.267955	10	-4	0	1
1948	0.961107	0	0	-0.00372538	10	4	0	2
1948	0.815837	0	0	0.095718	-9	-7	0	2
1948	0.997557	0	0	0.0217033	10	2	0	2
